24/09/2021,21,13
25/09/2021,21,13
26/09/2021,21,12
27/09/2021,16,11
28/09/2021,17,8
29/09/2021,14,8
30/09/2021,16,8
01/10/2021,16,8
02/10/2021,15,9
03/10/2021,15,9
04/10/2021,15,9
05/10/2021,16,8
06/10/2021,16,13
07/10/2021,19,14
08/10/2021,18,10
09/10/2021,16,11
10/10/2021,18,7
11/10/2021,14,6
12/10/2021,15,7
13/10/2021,17,7
14/10/2021,16,11
15/10/2021,16,10
16/10/2021,18,11
