Date,Rainfall
05/04/2022,0
06/04/2022,5
07/04/2022,3
25/04/2022,0
26/04/2022,0
28/04/2022,0
29/04/2022,0
30/04/2022,0
01/05/2022,4
02/05/2022,1
03/05/2022,0
04/05/2022,0
05/05/2022,0
06/05/2022,0
07/05/2022,0
08/05/2022,0
09/05/2022,0
10/05/2022,2
11/05/2022,7
13/05/2022,0
14/05/2022,14
15/05/2022,5
16/05/2022,0
17/05/2022,4
18/05/2022,6
19/05/2022,2
20/05/2022,5
21/05/2022,0
23/05/2022,8
24/05/2022,3
